Plant,PlantProductMesh,element_code,PeriodKey,Rate,Qty,Cost,rate_fill_flag,Forecasted_Qty,MembrainProductMesh
MCI,ACCUCAST HT 50,Depreciation,2025-11,0.01,0.0,,carry_back_all_zero_period,,
MCI,ACCUCAST HT 50,Depreciation,2025-12,0.01,600.0,,original,,
MCI,ACCUCAST HT 50,Depreciation,2026-01,0.01,0.0,429.91,carry_forward_all_zero_period,42991,ACCUCAST HT 50
NI,ACCUCAST HT 50,Depreciation,2026-02,0.006,80.0,257.946,original,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Depreciation,2026-03,0.01,0.0,429.91,carry_forward_all_zero_period,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Depreciation,2026-04,0.01,0.0,429.91,carry_forward_all_zero_period,42991,ACCUCAST HT 50
NI,ACCUCAST HT 50,Depreciation,2026-05,0.014,80.0,601.874,original,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Depreciation,2026-06,0.01,0.0,429.91,carry_forward_all_zero_period,42991,ACCUCAST HT 50
NI,ACCUCAST HT 50,Depreciation,2026-07,0.014,80.0,4200.042,original,300003,"ACCUCAST HT 50, ACCUCAST HT 70"
MCI,ACCUCAST HT 50,Depreciation,2026-08,0.01,0.0,429.91,carry_forward_all_zero_period,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Depreciation,2026-09,0.01,0.0,429.91,carry_forward_all_zero_period,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Depreciation,2026-10,0.01,0.0,429.91,carry_forward_all_zero_period,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Depreciation,2026-11,0.01,0.0,429.91,carry_forward_all_zero_period,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Depreciation,2026-12,0.01,0.0,429.91,carry_forward_all_zero_period,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Electricity,2025-11,0.03,0.0,,carry_back_all_zero_period,,
MCI,ACCUCAST HT 50,Electricity,2025-12,0.03,600.0,,original,,
MCI,ACCUCAST HT 50,Electricity,2026-01,0.03,0.0,1289.73,carry_forward_all_zero_period,42991,ACCUCAST HT 50
NI,ACCUCAST HT 50,Electricity,2026-02,0.01,80.0,429.91,original,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Electricity,2026-03,0.03,0.0,1289.73,carry_forward_all_zero_period,42991,ACCUCAST HT 50
MCI,ACCUCAST HT 50,Electricity,2026-04,0.03,0.0,1289.73,carry_forward_all_zero_period,42991,ACCUCAST HT 50
